title,author,Text,sentenceFeed,character_count
27세기의 발명왕,휴고 건즈백,"랄프 플러스


젊고 재기에 넘쳐있는 청년 랄프는 기쁨에 넘친 눈으로 유리 용기 안에 들어있는 한 마리의 모르모트를 바라보고 있었습니다.
귀여운 눈을 반짝이면서, 완전히 죽어있던 그 모르모트가 24시간만에 다시 살아난 것입니다. 청년 랄프는 실험대 위에 놓여있는 둥근 유리 용기를 바라보면서 기쁨의 함성을 올렸습니다.




놀랄만한 대성공을 이룩한 것입니다. 오늘, 2660년 9월 1일, 달력이 가리키는 이 날은 인류를 위하여 하나의 획기적인 기념일이 될 것입니다.
랄프는 넓은 방의 모퉁이에 있는 대형 텔레비전 전화 앞에 우뚝 멈추었습니다.
복잡한 버튼과 스위치가 빽빽하게 장치되어 있는 텔레비전 전화 앞의 조종대에는 또 미터 자동계기와 신호등이 붙어 있었습니다.
랄프는 재빠른 솜씨로 스위치들을 조작하고는 버튼을 눌렀습니다.
그 순간 벽 중앙에 있는 가로 세로 1미터의 정사각형 모양을 가진 스크린이 환해지면서 밝게 웃는 한 청년이 나타났습니다. 랄프는 명랑하게 그 청년에게 인사를 하였습니다.
“잘 있었나? 에드워드.”
“물론 잘 있었지. 자네는 어떤가, 랄프.”
랄프는 에드워드라고 불린 청년에게 연구실에 꼭 들러 달라는 부탁을 했습니다.
무슨 일 때문인가 궁금해하는 에드워드에게 랄프는 뒤를 돌아보며 손가락으로 실험대 위의 유리 용기를 가리켰습니다.
입체 텔레비전이기 때문에 몸을 내밀어 용기를 보려고 하는 에드워드의 몸이 스크린 밖으로 튀어나올 것같이 보였습니다.
눈을 가늘게 뜨고 용기를 바라보던 에드워드는 감탄을 하기 시작했습니다.
“오오, 랄프! 자네는 기어이 그것을 완성하고 말았군.”
“그렇다네.”




랄프는 마음을 가다듬으며 엄숙하게 말했습니다.
“난 죽은 것을 다시 살려냈네.”
에드워드는 들뜬 목소리로 축하를 했습니다.
“과연 랄프. 자네는 훌륭한 천재야. 아니 어떻게 죽은 것을 다시 살려낼 수 있단 말인가! 그건 아무도 생각할 수 없었을 거야. 자넨 인류를 위해 훌륭한 발명을 했어! 어쨌든 축하하네. 자네야말로 우리들의 랄프 124C41 플러스군 그래.”
“고맙네, 에드워드 350B11.”
랄프는 기쁨에 찬 얼굴로 말했습니다.
지구에는 전쟁이 사라진지 오래 되었고, 각국의 국민들은 세계 정부를 세우고, 그 지배하에 세계 전체가 평화스럽게 살고 있는 서기 2600년대는 그 옛날에 상상할 수도 없었던 아주 놀라운 시대로 접어든 것입니다.
전쟁이라는 것은 찾아볼 수 없습니다. 전쟁이 없어지자 어떤 군비도 필요 없게 되었습니다.




세계의 모든 사람들이 한 나라 국민처럼 서로를 사랑하며 인류를 위하여 과학을 발달시키고 기술을 연구하여 이용하게 되었습니다.
전쟁이 없어졌으므로 군비에 소요되던 지금까지의 엄청난 돈과 연구, 그것들을 위해 일하고 있던 많은 과학자들이 이제는 평화를 위해 힘쓰고 있습니다.
편리해진 사회에서 생활하고 있었지만 단 한 가지의 곤란한 점이 있었습니다.
그것은 세계 각국의 언어가 서로 다르다는 점이었습니다. 사람의 이름도 나라마다 달랐습니다. 여러 가지 불편한 점을 없애기 위해 200년 전부터 세계 각국의 언어를 통일하기 위한 작업이 시작되었습니다.
어느 나라 사람에게도 알맞은 공통 언어를 만든다는 것은 결코 쉬운 일이 아니었습니다. 그것은 실로 오랜 시일을 요구했습니다.
그렇지만 인간의 노력의 힘은 위대했습니다. 어느 나라 사람이라도 한결같이 먼저 ‘랄프’라든가 ‘에드워드’라든가, ‘민수’ ‘영수’라는 이름을 지어놓고 그 밑에 살고 있는 땅이나 자기의 직업 등으로 서로 다른 번호와 기호를 붙였던 것입니다.
그러니까 ‘랄프 C41’이라든가 ‘에드워드 11’이라는 이름이 그것입니다. 그러나 단, 이름 맨 끝에 붙어있는 +(플러스)라는 기호는 아무에게나 붙여지는 것이 아닙니다. 세계에서 + 기호를 가지고 있는 사람은 세계 정부의 수상을 비롯하여 단 10명도 채 되지 않습니다.
그도 그럴 것이 +기호는 인류를 위하여 아주 특별히 위대한 공적을 남긴 사람에게만 내리는 영광스러운 기호이기 때문입니다.
랄프는 여러 가지 위대한 발명을 함으로써 인류에게 봉사했으므로 그 명예로운 +기호를 받았던 것입니다.

텔레비전 전화의 혼선


에드워드는 아직 흥분해서 이야기를 하고 있었습니다.




“자네는 정말 훌륭해. 이제 죽은 사람이 다시 살아날 수 있는 게 아닌가. 앓고 있는 사람, 그 모든 불행을 겪는 사람들이 구원받을 수 있게 된 거네.”
랄프는 에드워드에게 겸손하게 대답했습니다.
“아니, 너무 그러지 말게. 아직은 완전히 성공한 것은 아니야. 이제 겨우 동물을 실험해서 성공한 것 뿐이야. 사람에게 적용시키려면 많은 실험과 연구를 거듭해야 돼.”
“난 자네를 믿어. 빠른 시일 내로 성공하고 말 거야.”
대화 도중 갑자기 텔레비전 스크린이 마구 흔들리다가 곧 어두워지면서 꺼져 버렸습니다.
이 텔레비전 전화는 세계 어느 곳이라도 통화할 수 있도록 되어 있습니다.
그러나 가끔 혼선이 되기도 하였습니다. 스크린을 바라보면서 랄프는 얼굴을 찡그렸습니다. 고장이 난 것입니다.




랄프는 고장난 곳을 고치기 위해 스위치를 이리 저리로 돌려보기도 하고 버튼을 눌러 보기도 하였습니다. 그러나 그렇게 쉽사리 고쳐지지 않을 것 같았습니다. 랄프가 중계소의 교환수를 부르기 위해 스위치에 손을 댔을 때였습니다.
갑자기 스크린이 밝아졌습니다. 랄프는 스크린을 바라보았습니다. 순간 랄프는 깜짝 놀랐습니다. 스크린 속에는 에드워드가 아닌 한 아름다운 아가씨가 랄프보다 더 놀란 얼굴을 하고 있었기 때문입니다.
아가씨는 프랑스 투의 말씨로 랄프에게 물었습니다.
“누구세요, 당신은……?”
어딘지 알 수 없는 시골의 어느 집에 아가씨는 혼자서 있었습니다. 랄프는 정중하게 그 아가씨에게 사과를 했습니다.
“텔레비전 전화가 혼선이 된 모양입니다. 친구와 함께 얘기를 하다 도중에 갑자기 끊어져 버렸어요. 정말 죄송하게 되었습니다. 곧 중계소에 연락을 해 고치도록 해야겠어요.”
아가씨는 의외로 상냥하게 질문을 했습니다.
“아니에요. 당신은 뭐하는 사람인가요? 당신 방은 온통 기계로 꽉 차 있군요. 무슨 연구실 아니면 우주선의 조종실 같아 보여요. 거기 어디죠?”
“아, 여기는 뉴욕입니다. 그쪽은 프랑스인가요?”
“아니에요. 여기는 스위스에요. 알프스 산 중턱이랍니다.”
아가씨는 랄프를 자세히 바라보고는 이상스럽다는 듯이 고개를 갸우뚱거렸습니다.
“그런데 당신의 얼굴을 어디선가 본 적이 있는 것 같아요. 어디서였을까요?”




“텔레비젼에서 보셨겠죠!”
라고 랄프가 말했습니다.
그러자 그 아가씨는 손뼉을 쳤습니다. 그 아가씨는 지금 텔레비젼 전화에 비치고 있는 사람이 그 유명한 발명왕 ‘랄프 124C플러스’라는 것을 알아냈습니다.
랄프는 그 아가씨를 향해 겸손하게 웃었습니다. 그러자 그 아가씨는 귀여운 눈을 반짝이면서 훌륭한 분과 이야기를 직접 나누게 된 것이 꿈이 아닌지 모르겠다고, 기쁜 얼굴을 하며 자기를 소개하였습니다.
“전 아리스 212B423이라고 해요.”
“반갑습니다. 만나 뵙게 되어서, 아리스.”
랄프 역시 아가씨와 알게 된 것이 진심으로 기뻤습니다.
아리스는 알프스의 로잔산 중턱에 아버지, 언니와 같이 살고있는 아가씨였습니다. 5일 전에 가족들이 반중력 비행차로 파리에 가고 없었기 때문에 아리스는 5일 만에 처음으로 이야기를 나눌 수 있는 사람을 만난 셈입니다.
아버지와 언니는 곧 돌아오기로 되어 있었는데 심한 눈보라로 인하여 도저히 로잔산 근처까지 오지 못하고 있는 상태였습니다. 아리스는 오랜만에 대화를 나누는 사람이, 더군다나 그 유명한 랄프 124C41플러스라는 것에 흥분이 되어 있었습니다.
좀처럼 흥분은 가라앉지 않는 모양이었습니다. 아리스가 있는 곳에는 눈 때문에 텔레비젼 전화 안테나까지 부러질 정도였습니다.




안테나를 간신히 응급 수리하여 파리와 연락을 취하려고 했던 것이었는데, 혼선이 되는 바람에 랄프의 텔레비젼 전화에 나타나게 된 것입니다.
아리스는 계속 예쁘게 웃었습니다. 아리스는 의지가 대단히 강한 아가씨였습니다. 알프스 산중에서 5일 동안이나 눈 속에 갇혀 있었으면서도 조금도 두려워하지 않았습니다.
게다가 직접 자기 손으로 안테나를 수리할 정도였습니다.
랄프는 조금 화가 났습니다. 이 시대는 세계의 기후도 과학의 힘으로 완전히 조종할 수 있게 되어 있었습니다.




비나 눈을 필요로 할 때는 그것들을 인공적으로 만들어 내리게 할 수 있었고, 필요 이상의 큰 눈, 비는 보통 때에는 내리지 않게 하고 있었는데 아리스가 그런 일을 당하다니. 그럼 스위스의 기상 조정 센터는 대체 무엇을 하고 있었는지. 랄프는 도저히 이해가 가지 않았습니다.
“아니 스위스의 기상 조정 센터는 낮잠을 자고 있는 건가요? 5일 동안이나 눈보라가 계속 되고 있다니 참으로 이상한 일이군요.”
“그것은 기상 조정 센터의 기사들이 스위스 지사와의 불화 때문에 파업에 들어갔기 때문이에요.”
아리스가 랄프에게 그 이유를 설명하자 랄프는 몹시 노했습니다.
남들이 당하는 피해를 생각하지 않고 자기들만 생각하는 이기주의자를 랄프는 무척 싫어합니다. 사람의 안전을 지켜야 되는 기상 조정 센터의 기사들이 파업을 했다는 것은 이유야 어찌 되었건 간에 괘씸한 일이었습니다.
“잠깐 기다려요, 아리스. 제가 파리에 연락하여 눈이 멈출 수 있도록 해보죠.”
랄프가 그렇게 말한 순간이었습니다.




‘리리리리리리. 리리리링. 리리리리링’
하는 벨 소리가 울렸습니다.
아리스의 얼굴이 창백해졌습니다. 그 벨 소리는 사태를 알리는 경보였던 것입니다.","젊고 재기에 넘쳐있는 청년 랄프는 기쁨에 넘친 눈으로 유리 용기 안에 들어있는 한 마리의 모르모트를 바라보고 있었습니다.
귀여운 눈을 반짝이면서, 완전히 죽어있던 그 모르모트가 24시간만에 다시 살아난 것입니다. 청년 랄프는 실험대 위에 놓여있는 둥근 유리 용기를 바라보면서 기쁨의 함성을 올렸습니다.",3511
K박사의 연구,김동인,,"“자네 선생은 이즈음 뭘 하나?”
나는 어떤 날 K박사의 조수로 있는 C를 만나서 말끝에 이런 말을 물어보았다.",10741
